data,codigo,designacao,preco_medio_ponderado
2018-01-07, 3200, Gasolina 95, 1.5378
2018-01-07, 3400, Gasolina 98, 1.5739
2018-01-07, 2100, Gasóleo, 1.3399
2018-01-07, 1120, GPL Auto, 0.6903
2018-01-07, 1450, Gasolina aditivada, 1.6099
2018-01-07, 2105, Gasóleo especial, 1.3697
2018-01-07, 2150, Gasóleo colorido, 0.8619
2018-01-07, 2155, Gasóleo de aquecimento, 1.1138
2018-01-07, 3205, Gasolina especial 95, 1.5406
2018-01-07, 3405, Gasolina especial 98, 1.6958
2018-01-07, 3210, Gasolina de mistura (motores a 2 tempos), 1.9660
2018-01-07, 2101, Gasóleo simples, 1.3287
2018-01-07, 3201, Gasolina simples 95, 1.5186
2018-01-07, 1141, GNC (gás natural comprimido) - €/m3, 0.9380
2018-01-07, 1142, GNL (gás natural liquefeito) - €/kg, 1.1156
2018-01-07, 1143, GNC (gás natural comprimido) - €/kg, 0.9990
2018-01-08, 3200, Gasolina 95, 1.5392
2018-01-08, 3400, Gasolina 98, 1.5729
2018-01-08, 2100, Gasóleo, 1.3430
2018-01-08, 1120, GPL Auto, 0.6910
2018-01-08, 1450, Gasolina aditivada, 1.6208
2018-01-08, 2105, Gasóleo especial, 1.3776
2018-01-08, 2150, Gasóleo colorido, 0.8633
2018-01-08, 2155, Gasóleo de aquecimento, 1.1143
2018-01-08, 3205, Gasolina especial 95, 1.5451
2018-01-08, 3405, Gasolina especial 98, 1.7013
2018-01-08, 3210, Gasolina de mistura (motores a 2 tempos), 1.9661
2018-01-08, 2101, Gasóleo simples, 1.3350
2018-01-08, 3201, Gasolina simples 95, 1.5227
2018-01-08, 1141, GNC (gás natural comprimido) - €/m3, 0.9380
2018-01-08, 1142, GNL (gás natural liquefeito) - €/kg, 1.1156
2018-01-08, 1143, GNC (gás natural comprimido) - €/kg, 0.9990
2018-01-09, 3200, Gasolina 95, 1.5373
2018-01-09, 3400, Gasolina 98, 1.5730
2018-01-09, 2100, Gasóleo, 1.3435
2018-01-09, 1120, GPL Auto, 0.6915
2018-01-09, 1450, Gasolina aditivada, 1.6208
2018-01-09, 2105, Gasóleo especial, 1.3776
2018-01-09, 2150, Gasóleo colorido, 0.8638
2018-01-09, 2155, Gasóleo de aquecimento, 1.1136
2018-01-09, 3205, Gasolina especial 95, 1.5450
2018-01-09, 3405, Gasolina especial 98, 1.7012
2018-01-09, 3210, Gasolina de mistura (motores a 2 tempos), 1.9659
2018-01-09, 2101, Gasóleo simples, 1.3356
2018-01-09, 3201, Gasolina simples 95, 1.5228
2018-01-09, 1141, GNC (gás natural comprimido) - €/m3, 0.9150
2018-01-09, 1142, GNL (gás natural liquefeito) - €/kg, 1.0487
2018-01-09, 1143, GNC (gás natural comprimido) - €/kg, 0.9990
2018-01-10, 3200, Gasolina 95, 1.5395
2018-01-10, 3400, Gasolina 98, 1.5726
2018-01-10, 2100, Gasóleo, 1.3438
2018-01-10, 1120, GPL Auto, 0.6915
2018-01-10, 1450, Gasolina aditivada, 1.6208
2018-01-10, 2105, Gasóleo especial, 1.3768
2018-01-10, 2150, Gasóleo colorido, 0.8638
2018-01-10, 2155, Gasóleo de aquecimento, 1.1140
2018-01-10, 3205, Gasolina especial 95, 1.5447
2018-01-10, 3405, Gasolina especial 98, 1.7006
2018-01-10, 3210, Gasolina de mistura (motores a 2 tempos), 1.9659
2018-01-10, 2101, Gasóleo simples, 1.3355
2018-01-10, 3201, Gasolina simples 95, 1.5225
2018-01-10, 1141, GNC (gás natural comprimido) - €/m3, 0.9150
2018-01-10, 1142, GNL (gás natural liquefeito) - €/kg, 1.0487
2018-01-10, 1143, GNC (gás natural comprimido) - €/kg, 0.9990
2018-01-11, 3200, Gasolina 95, 1.5390
2018-01-11, 3400, Gasolina 98, 1.5723
2018-01-11, 2100, Gasóleo, 1.3438
2018-01-11, 1120, GPL Auto, 0.6929
2018-01-11, 1450, Gasolina aditivada, 1.6208
2018-01-11, 2105, Gasóleo especial, 1.3768
2018-01-11, 2150, Gasóleo colorido, 0.8638
2018-01-11, 2155, Gasóleo de aquecimento, 1.1140
2018-01-11, 3205, Gasolina especial 95, 1.5446
2018-01-11, 3405, Gasolina especial 98, 1.7008
2018-01-11, 3210, Gasolina de mistura (motores a 2 tempos), 1.9658
2018-01-11, 2101, Gasóleo simples, 1.3356
2018-01-11, 3201, Gasolina simples 95, 1.5227
2018-01-11, 1141, GNC (gás natural comprimido) - €/m3, 0.9150
2018-01-11, 1142, GNL (gás natural liquefeito) - €/kg, 1.0487
2018-01-11, 1143, GNC (gás natural comprimido) - €/kg, 0.9990
2018-01-12, 3200, Gasolina 95, 1.5389
2018-01-12, 3400, Gasolina 98, 1.5696
2018-01-12, 2100, Gasóleo, 1.3437
2018-01-12, 1120, GPL Auto, 0.6930
2018-01-12, 1450, Gasolina aditivada, 1.6208
2018-01-12, 2105, Gasóleo especial, 1.3750
2018-01-12, 2150, Gasóleo colorido, 0.8638
2018-01-12, 2155, Gasóleo de aquecimento, 1.1160
2018-01-12, 3205, Gasolina especial 95, 1.5420
2018-01-12, 3405, Gasolina especial 98, 1.7007
2018-01-12, 3210, Gasolina de mistura (motores a 2 tempos), 1.9658
2018-01-12, 2101, Gasóleo simples, 1.3354
2018-01-12, 3201, Gasolina simples 95, 1.5225
2018-01-12, 1141, GNC (gás natural comprimido) - €/m3, 0.9150
2018-01-12, 1142, GNL (gás natural liquefeito) - €/kg, 1.0487
2018-01-12, 1143, GNC (gás natural comprimido) - €/kg, 0.9990
2018-01-13, 3200, Gasolina 95, 1.5374
2018-01-13, 3400, Gasolina 98, 1.5694
2018-01-13, 2100, Gasóleo, 1.3420
2018-01-13, 1120, GPL Auto, 0.6920
2018-01-13, 1450, Gasolina aditivada, 1.6208
2018-01-13, 2105, Gasóleo especial, 1.3682
2018-01-13, 2150, Gasóleo colorido, 0.8631
2018-01-13, 2155, Gasóleo de aquecimento, 1.1160
2018-01-13, 3205, Gasolina especial 95, 1.5354
2018-01-13, 3405, Gasolina especial 98, 1.6947
2018-01-13, 3210, Gasolina de mistura (motores a 2 tempos), 1.9658
2018-01-13, 2101, Gasóleo simples, 1.3305
2018-01-13, 3201, Gasolina simples 95, 1.5184
2018-01-13, 1141, GNC (gás natural comprimido) - €/m3, 0.9150
2018-01-13, 1142, GNL (gás natural liquefeito) - €/kg, 1.0487
2018-01-13, 1143, GNC (gás natural comprimido) - €/kg, 0.9990
2018-01-14, 3200, Gasolina 95, 1.5372
2018-01-14, 3400, Gasolina 98, 1.5696
2018-01-14, 2100, Gasóleo, 1.3418
2018-01-14, 1120, GPL Auto, 0.6918
2018-01-14, 1450, Gasolina aditivada, 1.6208
2018-01-14, 2105, Gasóleo especial, 1.3695
2018-01-14, 2150, Gasóleo colorido, 0.8628
2018-01-14, 2155, Gasóleo de aquecimento, 1.1136
2018-01-14, 3205, Gasolina especial 95, 1.5372
2018-01-14, 3405, Gasolina especial 98, 1.6952
2018-01-14, 3210, Gasolina de mistura (motores a 2 tempos), 1.9661
2018-01-14, 2101, Gasóleo simples, 1.3308
2018-01-14, 3201, Gasolina simples 95, 1.5187
2018-01-14, 1141, GNC (gás natural comprimido) - €/m3, 0.9150
2018-01-14, 1142, GNL (gás natural liquefeito) - €/kg, 1.0487
2018-01-14, 1143, GNC (gás natural comprimido) - €/kg, 0.9990
2018-01-15, 3200, Gasolina 95, 1.5460
2018-01-15, 3400, Gasolina 98, 1.5739
2018-01-15, 2100, Gasóleo, 1.3487
2018-01-15, 1120, GPL Auto, 0.6924
2018-01-15, 1450, Gasolina aditivada, 1.6254
2018-01-15, 2105, Gasóleo especial, 1.3832
2018-01-15, 2150, Gasóleo colorido, 0.8692
2018-01-15, 2155, Gasóleo de aquecimento, 1.1196
2018-01-15, 3205, Gasolina especial 95, 1.5568
2018-01-15, 3405, Gasolina especial 98, 1.7147
2018-01-15, 3210, Gasolina de mistura (motores a 2 tempos), 1.9669
2018-01-15, 2101, Gasóleo simples, 1.3417
2018-01-15, 3201, Gasolina simples 95, 1.5335
2018-01-15, 1141, GNC (gás natural comprimido) - €/m3, 0.9150
2018-01-15, 1142, GNL (gás natural liquefeito) - €/kg, 1.0487
2018-01-15, 1143, GNC (gás natural comprimido) - €/kg, 0.9990
2018-01-16, 3200, Gasolina 95, 1.5471
2018-01-16, 3400, Gasolina 98, 1.5775
2018-01-16, 2100, Gasóleo, 1.3503
2018-01-16, 1120, GPL Auto, 0.6927
2018-01-16, 1450, Gasolina aditivada, 1.6329
2018-01-16, 2105, Gasóleo especial, 1.3836
2018-01-16, 2150, Gasóleo colorido, 0.8703
2018-01-16, 2155, Gasóleo de aquecimento, 1.1203
2018-01-16, 3205, Gasolina especial 95, 1.5565
2018-01-16, 3405, Gasolina especial 98, 1.7143
2018-01-16, 3210, Gasolina de mistura (motores a 2 tempos), 1.9669
2018-01-16, 2101, Gasóleo simples, 1.3434
2018-01-16, 3201, Gasolina simples 95, 1.5343
2018-01-16, 1141, GNC (gás natural comprimido) - €/m3, 0.9150
2018-01-16, 1142, GNL (gás natural liquefeito) - €/kg, 1.0487
2018-01-16, 1143, GNC (gás natural comprimido) - €/kg, 0.9990
2018-01-17, 3200, Gasolina 95, 1.5479
2018-01-17, 3400, Gasolina 98, 1.5786
2018-01-17, 2100, Gasóleo, 1.3510
2018-01-17, 1120, GPL Auto, 0.6927
2018-01-17, 1450, Gasolina aditivada, 1.6412
2018-01-17, 2105, Gasóleo especial, 1.3831
2018-01-17, 2150, Gasóleo colorido, 0.8708
2018-01-17, 2155, Gasóleo de aquecimento, 1.1211
2018-01-17, 3205, Gasolina especial 95, 1.5571
2018-01-17, 3405, Gasolina especial 98, 1.7130
2018-01-17, 3210, Gasolina de mistura (motores a 2 tempos), 1.9672
2018-01-17, 2101, Gasóleo simples, 1.3432
2018-01-17, 3201, Gasolina simples 95, 1.5341
2018-01-17, 1141, GNC (gás natural comprimido) - €/m3, 0.9150
2018-01-17, 1142, GNL (gás natural liquefeito) - €/kg, 1.0487
2018-01-17, 1143, GNC (gás natural comprimido) - €/kg, 0.9990
2018-01-18, 3200, Gasolina 95, 1.5467
2018-01-18, 3400, Gasolina 98, 1.5777
2018-01-18, 2100, Gasóleo, 1.3500
2018-01-18, 1120, GPL Auto, 0.6913
2018-01-18, 1450, Gasolina aditivada, 1.6412
2018-01-18, 2105, Gasóleo especial, 1.3832
2018-01-18, 2150, Gasóleo colorido, 0.8711
2018-01-18, 2155, Gasóleo de aquecimento, 1.1213
2018-01-18, 3205, Gasolina especial 95, 1.5585
2018-01-18, 3405, Gasolina especial 98, 1.7115
2018-01-18, 3210, Gasolina de mistura (motores a 2 tempos), 1.9672
2018-01-18, 2101, Gasóleo simples, 1.3426
2018-01-18, 3201, Gasolina simples 95, 1.5332
2018-01-18, 1141, GNC (gás natural comprimido) - €/m3, 0.9150
2018-01-18, 1142, GNL (gás natural liquefeito) - €/kg, 1.0487
2018-01-18, 1143, GNC (gás natural comprimido) - €/kg, 0.9990
2018-01-19, 3200, Gasolina 95, 1.5467
2018-01-19, 3400, Gasolina 98, 1.5749
2018-01-19, 2100, Gasóleo, 1.3500
2018-01-19, 1120, GPL Auto, 0.6914
2018-01-19, 1450, Gasolina aditivada, 1.6412
2018-01-19, 2105, Gasóleo especial, 1.3822
2018-01-19, 2150, Gasóleo colorido, 0.8709
2018-01-19, 2155, Gasóleo de aquecimento, 1.1214
2018-01-19, 3205, Gasolina especial 95, 1.5558
2018-01-19, 3405, Gasolina especial 98, 1.7109
2018-01-19, 3210, Gasolina de mistura (motores a 2 tempos), 1.9673
2018-01-19, 2101, Gasóleo simples, 1.3365
2018-01-19, 3201, Gasolina simples 95, 1.5255
2018-01-19, 1141, GNC (gás natural comprimido) - €/m3, 0.9150
2018-01-19, 1142, GNL (gás natural liquefeito) - €/kg, 1.0487
2018-01-19, 1143, GNC (gás natural comprimido) - €/kg, 0.9990
2018-01-20, 3200, Gasolina 95, 1.5446
2018-01-20, 3400, Gasolina 98, 1.5751
2018-01-20, 2100, Gasóleo, 1.3487
2018-01-20, 1120, GPL Auto, 0.6899
2018-01-20, 1450, Gasolina aditivada, 1.6412
2018-01-20, 2105, Gasóleo especial, 1.3750
2018-01-20, 2150, Gasóleo colorido, 0.8700
2018-01-20, 2155, Gasóleo de aquecimento, 1.1221
2018-01-20, 3205, Gasolina especial 95, 1.5488
2018-01-20, 3405, Gasolina especial 98, 1.7046
2018-01-20, 3210, Gasolina de mistura (motores a 2 tempos), 1.9678
2018-01-20, 2101, Gasóleo simples, 1.3324
2018-01-20, 3201, Gasolina simples 95, 1.5218
2018-01-20, 1141, GNC (gás natural comprimido) - €/m3, 0.9150
2018-01-20, 1142, GNL (gás natural liquefeito) - €/kg, 1.0487
2018-01-20, 1143, GNC (gás natural comprimido) - €/kg, 0.9990
2018-01-21, 3200, Gasolina 95, 1.5446
2018-01-21, 3400, Gasolina 98, 1.5751
2018-01-21, 2100, Gasóleo, 1.3487
2018-01-21, 1120, GPL Auto, 0.6899
2018-01-21, 1450, Gasolina aditivada, 1.6412
2018-01-21, 2105, Gasóleo especial, 1.3763
2018-01-21, 2150, Gasóleo colorido, 0.8697
2018-01-21, 2155, Gasóleo de aquecimento, 1.1221
2018-01-21, 3205, Gasolina especial 95, 1.5508
2018-01-21, 3405, Gasolina especial 98, 1.7046
2018-01-21, 3210, Gasolina de mistura (motores a 2 tempos), 1.9678
2018-01-21, 2101, Gasóleo simples, 1.3344
2018-01-21, 3201, Gasolina simples 95, 1.5250
2018-01-21, 1141, GNC (gás natural comprimido) - €/m3, 0.9150
2018-01-21, 1142, GNL (gás natural liquefeito) - €/kg, 1.0487
2018-01-21, 1143, GNC (gás natural comprimido) - €/kg, 0.9990
2018-01-22, 3200, Gasolina 95, 1.5457
2018-01-22, 3400, Gasolina 98, 1.5736
2018-01-22, 2100, Gasóleo, 1.3483
2018-01-22, 1120, GPL Auto, 0.6905
2018-01-22, 1450, Gasolina aditivada, 1.6412
2018-01-22, 2105, Gasóleo especial, 1.3768
2018-01-22, 2150, Gasóleo colorido, 0.8681
2018-01-22, 2155, Gasóleo de aquecimento, 1.1200
2018-01-22, 3205, Gasolina especial 95, 1.5516
2018-01-22, 3405, Gasolina especial 98, 1.7090
2018-01-22, 3210, Gasolina de mistura (motores a 2 tempos), 1.9678
2018-01-22, 2101, Gasóleo simples, 1.3224
2018-01-22, 3201, Gasolina simples 95, 1.5173
2018-01-22, 1141, GNC (gás natural comprimido) - €/m3, 0.9150
2018-01-22, 1142, GNL (gás natural liquefeito) - €/kg, 1.0487
2018-01-22, 1143, GNC (gás natural comprimido) - €/kg, 0.9990
2018-01-23, 3200, Gasolina 95, 1.5452
2018-01-23, 3400, Gasolina 98, 1.5719
2018-01-23, 2100, Gasóleo, 1.3464
2018-01-23, 1120, GPL Auto, 0.7042
2018-01-23, 1450, Gasolina aditivada, 1.6367
2018-01-23, 2105, Gasóleo especial, 1.3744
2018-01-23, 2150, Gasóleo colorido, 0.8655
2018-01-23, 2155, Gasóleo de aquecimento, 1.1164
2018-01-23, 3205, Gasolina especial 95, 1.5515
2018-01-23, 3405, Gasolina especial 98, 1.7020
2018-01-23, 3210, Gasolina de mistura (motores a 2 tempos), 1.9685
2018-01-23, 2101, Gasóleo simples, 1.3187
2018-01-23, 3201, Gasolina simples 95, 1.5127
2018-01-23, 1141, GNC (gás natural comprimido) - €/m3, 0.9150
2018-01-23, 1142, GNL (gás natural liquefeito) - €/kg, 1.0487
2018-01-23, 1143, GNC (gás natural comprimido) - €/kg, 0.9990
2018-01-24, 3200, Gasolina 95, 1.5489
2018-01-24, 3400, Gasolina 98, 1.5723
2018-01-24, 2100, Gasóleo, 1.3469
2018-01-24, 1120, GPL Auto, 0.7041
2018-01-24, 1450, Gasolina aditivada, 1.5992
2018-01-24, 2105, Gasóleo especial, 1.3746
2018-01-24, 2150, Gasóleo colorido, 0.8653
2018-01-24, 2155, Gasóleo de aquecimento, 1.1180
2018-01-24, 3205, Gasolina especial 95, 1.5517
2018-01-24, 3405, Gasolina especial 98, 1.7019
2018-01-24, 3210, Gasolina de mistura (motores a 2 tempos), 1.8701
2018-01-24, 2101, Gasóleo simples, 1.3185
2018-01-24, 3201, Gasolina simples 95, 1.5115
